"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 10, 2020","3.13720","2.67760","3.13720","2.67760","575.05K","17.16%"
"Aug 09, 2020","2.67760","2.47520","2.67760","2.47520","533.66K","8.18%"
"Aug 08, 2020","2.47520","2.07340","2.47520","2.07340","591.90K","19.38%"
"Aug 07, 2020","2.07340","2.20570","2.20570","2.07340","537.24K","-6.00%"
"Aug 06, 2020","2.20570","1.76540","2.20570","1.76540","558.09K","24.94%"
"Aug 05, 2020","1.76540","1.86190","1.86190","1.76540","528.48K","-5.18%"
"Aug 04, 2020","1.86190","1.80430","1.92510","1.80430","528.79K","3.19%"
"Aug 03, 2020","1.80430","1.74510","1.80430","1.73280","560.20K","3.39%"
"Aug 02, 2020","1.74510","1.53860","1.74510","1.53860","560.17K","13.42%"
"Aug 01, 2020","1.53860","1.53830","1.56240","1.53830","567.99K","0.02%"
"Jul 31, 2020","1.53830","1.68580","1.68580","1.53830","550.93K","-8.75%"
"Jul 30, 2020","1.68580","1.65300","1.75210","1.65300","573.31K","1.98%"
"Jul 29, 2020","1.65300","1.78860","1.78860","1.65300","583.16K","-7.66%"
"Jul 28, 2020","1.79020","1.76820","1.79020","1.71910","546.86K","1.24%"
"Jul 27, 2020","1.76820","1.57410","1.81580","1.57410","584.70K","12.33%"
"Jul 26, 2020","1.57410","1.25270","1.57410","1.25270","576.11K","25.66%"
"Jul 25, 2020","1.25270","0.99790","1.33220","0.99790","547.18K","25.53%"
"Jul 24, 2020","0.99790","1.06050","1.06050","0.99790","579.39K","-5.90%"
"Jul 23, 2020","1.06050","1.04420","1.06050","1.04420","562.42K","1.56%"
"Jul 22, 2020","1.04420","0.97260","1.06560","0.97260","566.20K","7.36%"
"Jul 21, 2020","0.97260","0.87340","0.97260","0.87340","548.26K","11.36%"
"Jul 20, 2020","0.87340","0.92270","0.92270","0.87340","547.73K","-5.34%"
"Jul 19, 2020","0.92270","0.97930","0.97930","0.92270","576.93K","-5.78%"
"Jul 18, 2020","0.97930","0.97870","0.97930","0.96350","559.49K","0.06%"
"Jul 17, 2020","0.97870","0.83510","0.97870","0.83510","549.75K","17.20%"
"Jul 16, 2020","0.83510","1.29580","1.29580","0.83510","574.88K","-35.55%"
"Jul 15, 2020","1.29580","1.15590","1.29580","1.15590","565.27K","12.10%"
"Jul 14, 2020","1.15590","1.16520","1.16520","1.12360","555.01K","-0.80%"
"Jul 13, 2020","1.16520","1.01060","1.16520","1.01060","581.23K","15.30%"
"Jul 12, 2020","1.01060","0.92320","1.01060","0.92320","569.03K","9.47%"
"Jul 11, 2020","0.92320","0.91730","0.92320","0.86330","592.40K","0.64%"
"Jul 10, 2020","0.91730","0.85500","0.91730","0.85500","563.46K","7.29%"
"Jul 09, 2020","0.85500","0.78900","0.85500","0.78900","583.23K","8.37%"
"Jul 08, 2020","0.78900","0.75220","0.78900","0.75220","523.59K","4.89%"
"Jul 07, 2020","0.75220","0.70740","0.75220","0.70740","552.97K","6.33%"
"Jul 06, 2020","0.70740","0.68970","0.70740","0.68660","565.06K","2.57%"
"Jul 05, 2020","0.68970","0.78110","0.78620","0.62800","518.55K","-11.70%"
"Jul 04, 2020","0.78110","0.76570","0.82910","0.75990","598.48K","2.01%"
